event_id,user_id,task_id,session_id,event_time,event_name,suggestion_id,prompt_group
e_000028,u_0005,t_00005,s_00005,2026-05-06T16:58,visit_product,,A
e_000029,u_0005,t_00005,s_00005,2026-05-06T16:59,upload_resume,,A
e_000030,u_0005,t_00005,s_00005,2026-05-06T17:00,upload_jd,,A
e_000031,u_0005,t_00005,s_00005,2026-05-06T17:01,generate_suggestion,,A
e_000032,u_0005,t_00005,s_00005,2026-05-06T17:03,adopt_suggestion,sg_82915573d7,A
e_000033,u_0005,t_00005,s_00005,2026-05-06T17:03,reject_suggestion,sg_4435e94c04,A
e_000034,u_0005,t_00005,s_00005,2026-05-06T17:04,reject_suggestion,sg_b13e0e6982,A
e_000035,u_0006,t_00006,s_00006,2026-06-29T13:07,visit_product,,A
e_000036,u_0006,t_00006,s_00006,2026-06-29T13:08,upload_resume,,A
e_000037,u_0006,t_00006,s_00006,2026-06-29T13:09,upload_jd,,A
e_000038,u_0006,t_00006,s_00006,2026-06-29T13:10,generate_suggestion,,A
e_000039,u_0006,t_00006,s_00006,2026-06-29T13:12,reject_suggestion,sg_abb468cfb4,A
e_000040,u_0006,t_00006,s_00006,2026-06-29T13:13,reject_suggestion,sg_b665de4026,A
e_000041,u_0006,t_00006,s_00006,2026-06-29T13:12,adopt_suggestion,sg_f0e2fbb0a0,A
e_000042,u_0007,t_00007,s_00007,2026-06-17T08:46,visit_product,,B
e_000043,u_0007,t_00008,s_00008,2026-06-03T02:16,visit_product,,B
e_000044,u_0007,t_00008,s_00008,2026-06-03T02:17,upload_resume,,B
e_000045,u_0007,t_00008,s_00008,2026-06-03T02:18,upload_jd,,B
e_000046,u_0007,t_00008,s_00008,2026-06-03T02:19,generate_suggestion,,B
e_000047,u_0007,t_00008,s_00008,2026-06-03T02:21,adopt_suggestion,sg_7afd9e9a8e,B
e_000048,u_0007,t_00008,s_00008,2026-06-03T02:22,adopt_suggestion,sg_67ca59918d,B
e_000049,u_0007,t_00008,s_00008,2026-06-03T02:23,adopt_suggestion,sg_d02e300639,B
e_000050,u_0007,t_00008,s_00008,2026-06-03T02:24,adopt_suggestion,sg_eb00662bd9,B
e_000051,u_0007,t_00008,s_00008,2026-06-03T02:25,adopt_suggestion,sg_03a8b9e35c,B
e_000052,u_0007,t_00008,s_00008,2026-06-03T02:26,adopt_suggestion,sg_51505f95e3,B
e_000053,u_0007,t_00008,s_00008,2026-06-03T02:26,export_report,,B
e_000054,u_0007,t_00009,s_00009,2026-06-24T00:15,visit_product,,A
e_000055,u_0007,t_00009,s_00009,2026-06-24T00:16,upload_resume,,A
e_000056,u_0007,t_00009,s_00009,2026-06-24T00:17,upload_jd,,A
e_000057,u_0008,t_00010,s_00010,2026-05-21T07:26,visit_product,,B
e_000058,u_0009,t_00011,s_00011,2026-06-02T21:57,visit_product,,B
e_000059,u_0009,t_00011,s_00011,2026-06-02T21:58,upload_resume,,B
e_000060,u_0009,t_00011,s_00011,2026-06-02T21:59,upload_jd,,B
e_000061,u_0009,t_00011,s_00011,2026-06-02T22:00,generate_suggestion,,B
e_000062,u_0009,t_00011,s_00011,2026-06-02T22:02,adopt_suggestion,sg_e00bf3b8ad,B
e_000063,u_0009,t_00011,s_00011,2026-06-02T22:03,adopt_suggestion,sg_0023e0af0b,B
e_000064,u_0009,t_00011,s_00011,2026-06-02T22:02,reject_suggestion,sg_dd5fc19da7,B
e_000065,u_0009,t_00011,s_00011,2026-06-02T22:03,reject_suggestion,sg_3558db788f,B
e_000066,u_0009,t_00011,s_00011,2026-06-02T22:04,adopt_suggestion,sg_0ceef1fc5a,B
e_000067,u_0009,t_00011,s_00011,2026-06-02T22:05,adopt_suggestion,sg_6064aa63f2,B
e_000068,u_0009,t_00011,s_00011,2026-06-02T22:07,export_report,,B
e_000069,u_0010,t_00012,s_00012,2026-06-01T06:46,visit_product,,B
e_000070,u_0010,t_00013,s_00013,2026-05-02T07:34,visit_product,,A
e_000071,u_0010,t_00013,s_00013,2026-05-02T07:35,upload_resume,,A
e_000072,u_0011,t_00014,s_00014,2026-06-16T09:06,visit_product,,B
e_000073,u_0011,t_00014,s_00014,2026-06-16T09:07,upload_resume,,B
e_000074,u_0011,t_00015,s_00015,2026-06-15T08:05,visit_product,,A
e_000075,u_0011,t_00015,s_00015,2026-06-15T08:06,upload_resume,,A
e_000076,u_0011,t_00015,s_00015,2026-06-15T08:07,upload_jd,,A
e_000077,u_0011,t_00015,s_00015,2026-06-15T08:08,generate_suggestion,,A
e_000078,u_0011,t_00015,s_00015,2026-06-15T08:10,adopt_suggestion,sg_b6bf0c109c,A
e_000079,u_0011,t_00015,s_00015,2026-06-15T08:10,reject_suggestion,sg_94f84792be,A
e_000080,u_0011,t_00015,s_00015,2026-06-15T08:11,adopt_suggestion,sg_385acd124a,A
e_000081,u_0011,t_00015,s_00015,2026-06-15T08:11,reject_suggestion,sg_bfab6072a0,A
e_000082,u_0011,t_00015,s_00015,2026-06-15T08:12,adopt_suggestion,sg_b8f7d1d8f1,A
e_000083,u_0011,t_00015,s_00015,2026-06-15T08:13,adopt_suggestion,sg_d0f465c06f,A
e_000084,u_0012,t_00016,s_00016,2026-06-24T10:59,visit_product,,B
e_000085,u_0012,t_00016,s_00016,2026-06-24T11:00,upload_resume,,B
e_000086,u_0012,t_00016,s_00016,2026-06-24T11:01,upload_jd,,B
e_000087,u_0012,t_00016,s_00016,2026-06-24T11:02,generate_suggestion,,B
e_000088,u_0012,t_00016,s_00016,2026-06-24T11:04,adopt_suggestion,sg_73310251c2,B
e_000089,u_0012,t_00016,s_00016,2026-06-24T11:05,adopt_suggestion,sg_ab00fd5c5a,B
e_000090,u_0012,t_00016,s_00016,2026-06-24T11:06,adopt_suggestion,sg_b12a4b8f32,B
e_000091,u_0012,t_00016,s_00016,2026-06-24T11:09,export_report,,B
e_000092,u_0013,t_00017,s_00017,2026-05-29T09:29,visit_product,,B
e_000093,u_0013,t_00017,s_00017,2026-05-29T09:30,upload_resume,,B
e_000094,u_0013,t_00017,s_00017,2026-05-29T09:31,upload_jd,,B
e_000095,u_0013,t_00017,s_00017,2026-05-29T09:32,generate_suggestion,,B
e_000096,u_0013,t_00017,s_00017,2026-05-29T09:34,adopt_suggestion,sg_07e8c78570,B
e_000097,u_0013,t_00017,s_00017,2026-05-29T09:34,reject_suggestion,sg_e21cb9d274,B
e_000098,u_0013,t_00017,s_00017,2026-05-29T09:35,adopt_suggestion,sg_9a20b71aac,B
e_000099,u_0013,t_00017,s_00017,2026-05-29T09:36,adopt_suggestion,sg_fdd9f023df,B
e_000100,u_0013,t_00017,s_00017,2026-05-29T09:35,reject_suggestion,sg_45e7f03647,B
e_000101,u_0013,t_00017,s_00017,2026-05-29T09:37,adopt_suggestion,sg_573b40ebee,B
e_000102,u_0013,t_00017,s_00017,2026-05-29T09:39,export_report,,B
e_000103,u_0014,t_00018,s_00018,2026-05-02T12:54,visit_product,,B
e_000104,u_0014,t_00018,s_00018,2026-05-02T12:55,upload_resume,,B
e_000105,u_0014,t_00018,s_00018,2026-05-02T12:56,upload_jd,,B
e_000106,u_0014,t_00018,s_00018,2026-05-02T12:57,generate_suggestion,,B
e_000107,u_0014,t_00018,s_00018,2026-05-02T12:59,adopt_suggestion,sg_3ca6e9a2b4,B
e_000108,u_0014,t_00018,s_00018,2026-05-02T12:59,reject_suggestion,sg_92b0459315,B
e_000109,u_0014,t_00018,s_00018,2026-05-02T13:00,adopt_suggestion,sg_d702de086f,B
e_000110,u_0014,t_00018,s_00018,2026-05-02T13:01,adopt_suggestion,sg_cd8cdc6155,B
e_000111,u_0014,t_00018,s_00018,2026-05-02T13:00,reject_suggestion,sg_b974f64526,B
e_000112,u_0014,t_00018,s_00018,2026-05-02T13:01,reject_suggestion,sg_8c0237cf29,B
e_000113,u_0014,t_00018,s_00018,2026-05-02T13:04,export_report,,B
e_000114,u_0015,t_00019,s_00019,2026-05-02T02:12,visit_product,,B
e_000115,u_0016,t_00020,s_00020,2026-05-03T14:03,visit_product,,B
e_000116,u_0016,t_00020,s_00020,2026-05-03T14:04,upload_resume,,B
e_000117,u_0016,t_00020,s_00020,2026-05-03T14:05,upload_jd,,B
e_000118,u_0016,t_00020,s_00020,2026-05-03T14:06,generate_suggestion,,B
e_000119,u_0016,t_00020,s_00020,2026-05-03T14:08,adopt_suggestion,sg_349f85a63f,B
e_000120,u_0016,t_00020,s_00020,2026-05-03T14:09,adopt_suggestion,sg_c609879ab6,B
e_000121,u_0016,t_00020,s_00020,2026-05-03T14:10,adopt_suggestion,sg_bfafd6f4b4,B
e_000122,u_0016,t_00020,s_00020,2026-05-03T14:13,export_report,,B
e_000123,u_0017,t_00021,s_00021,2026-05-19T15:26,visit_product,,A
e_000124,u_0018,t_00022,s_00022,2026-05-27T06:41,visit_product,,B
e_000125,u_0019,t_00023,s_00023,2026-06-04T15:22,visit_product,,B
e_000126,u_0020,t_00024,s_00024,2026-05-21T19:14,visit_product,,A
e_000127,u_0020,t_00024,s_00024,2026-05-21T19:15,upload_resume,,A
e_000128,u_0020,t_00024,s_00024,2026-05-21T19:16,upload_jd,,A
e_000129,u_0020,t_00024,s_00024,2026-05-21T19:17,generate_suggestion,,A
e_000130,u_0020,t_00024,s_00024,2026-05-21T19:19,reject_suggestion,sg_70a63657e3,A
e_000131,u_0020,t_00024,s_00024,2026-05-21T19:19,adopt_suggestion,sg_7bb5215164,A
e_000132,u_0020,t_00024,s_00024,2026-05-21T19:20,adopt_suggestion,sg_8df067459a,A
e_000133,u_0020,t_00024,s_00024,2026-05-21T19:21,adopt_suggestion,sg_ba595dafcd,A
e_000134,u_0020,t_00024,s_00024,2026-05-21T19:22,adopt_suggestion,sg_ded210a2d9,A
e_000135,u_0020,t_00024,s_00024,2026-05-21T19:23,adopt_suggestion,sg_cb12f226b2,A
e_000136,u_0020,t_00024,s_00024,2026-05-21T19:24,export_report,,A
e_000137,u_0021,t_00025,s_00025,2026-06-29T05:11,visit_product,,B
e_000138,u_0021,t_00025,s_00025,2026-06-29T05:12,upload_resume,,B
e_000139,u_0021,t_00025,s_00025,2026-06-29T05:13,upload_jd,,B
e_000140,u_0021,t_00025,s_00025,2026-06-29T05:14,generate_suggestion,,B
e_000141,u_0021,t_00025,s_00025,2026-06-29T05:16,adopt_suggestion,sg_26b7951042,B
e_000142,u_0021,t_00025,s_00025,2026-06-29T05:17,adopt_suggestion,sg_8853cd8ca8,B
e_000143,u_0021,t_00025,s_00025,2026-06-29T05:18,adopt_suggestion,sg_fa09ab81c6,B
e_000144,u_0021,t_00025,s_00025,2026-06-29T05:19,adopt_suggestion,sg_258989426d,B
e_000145,u_0021,t_00025,s_00025,2026-06-29T05:20,adopt_suggestion,sg_a4d59f0651,B
e_000146,u_0021,t_00025,s_00025,2026-06-29T05:21,adopt_suggestion,sg_1e404a09bc,B
e_000147,u_0021,t_00026,s_00026,2026-05-04T07:38,visit_product,,A
e_000148,u_0021,t_00026,s_00026,2026-05-04T07:39,upload_resume,,A
e_000149,u_0021,t_00026,s_00026,2026-05-04T07:40,upload_jd,,A
e_000150,u_0021,t_00026,s_00026,2026-05-04T07:41,generate_suggestion,,A
e_000151,u_0021,t_00026,s_00026,2026-05-04T07:43,reject_suggestion,sg_889e18e2ac,A
e_000152,u_0021,t_00026,s_00026,2026-05-04T07:43,adopt_suggestion,sg_f0f7c42caa,A
e_000153,u_0021,t_00026,s_00026,2026-05-04T07:44,adopt_suggestion,sg_e3f01702c0,A
e_000154,u_0022,t_00027,s_00027,2026-06-30T21:25,visit_product,,B
e_000155,u_0022,t_00027,s_00027,2026-06-30T21:26,upload_resume,,B
e_000156,u_0022,t_00027,s_00027,2026-06-30T21:27,upload_jd,,B
e_000157,u_0022,t_00027,s_00027,2026-06-30T21:28,generate_suggestion,,B
e_000158,u_0022,t_00027,s_00027,2026-06-30T21:30,reject_suggestion,sg_40fb8626da,B
e_000159,u_0022,t_00027,s_00027,2026-06-30T21:30,adopt_suggestion,sg_17451930c1,B
e_000160,u_0022,t_00027,s_00027,2026-06-30T21:31,adopt_suggestion,sg_fdf4311abf,B
e_000161,u_0022,t_00028,s_00028,2026-06-12T18:52,visit_product,,B
e_000162,u_0022,t_00028,s_00028,2026-06-12T18:53,upload_resume,,B
e_000163,u_0022,t_00028,s_00028,2026-06-12T18:54,upload_jd,,B
e_000164,u_0022,t_00028,s_00028,2026-06-12T18:55,generate_suggestion,,B
e_000165,u_0022,t_00028,s_00028,2026-06-12T18:57,adopt_suggestion,sg_6de97ec189,B
e_000166,u_0022,t_00028,s_00028,2026-06-12T18:58,adopt_suggestion,sg_5a887d04b2,B
e_000167,u_0022,t_00028,s_00028,2026-06-12T18:57,reject_suggestion,sg_bfb33124bc,B
e_000168,u_0023,t_00029,s_00029,2026-05-15T20:36,visit_product,,B
e_000169,u_0023,t_00029,s_00029,2026-05-15T20:37,upload_resume,,B
e_000170,u_0023,t_00029,s_00029,2026-05-15T20:38,upload_jd,,B
e_000171,u_0023,t_00029,s_00029,2026-05-15T20:39,generate_suggestion,,B
e_000172,u_0023,t_00029,s_00029,2026-05-15T20:41,adopt_suggestion,sg_fbe4be06a1,B
e_000173,u_0023,t_00029,s_00029,2026-05-15T20:42,adopt_suggestion,sg_257c3adee5,B
e_000174,u_0023,t_00029,s_00029,2026-05-15T20:43,adopt_suggestion,sg_89d46fde2b,B
e_000175,u_0023,t_00029,s_00029,2026-05-15T20:44,adopt_suggestion,sg_bd97c94049,B
e_000176,u_0023,t_00029,s_00029,2026-05-15T20:41,reject_suggestion,sg_20b3e2b408,B
e_000177,u_0023,t_00029,s_00029,2026-05-15T20:45,adopt_suggestion,sg_bafc683f38,B
e_000178,u_0023,t_00030,s_00030,2026-05-05T11:16,visit_product,,A
e_000179,u_0023,t_00030,s_00030,2026-05-05T11:17,upload_resume,,A
e_000180,u_0023,t_00030,s_00030,2026-05-05T11:18,upload_jd,,A
e_000181,u_0023,t_00030,s_00030,2026-05-05T11:19,generate_suggestion,,A
e_000182,u_0023,t_00030,s_00030,2026-05-05T11:21,adopt_suggestion,sg_9f0780893f,A
e_000183,u_0023,t_00030,s_00030,2026-05-05T11:22,adopt_suggestion,sg_5a71cf8150,A
e_000184,u_0023,t_00030,s_00030,2026-05-05T11:23,adopt_suggestion,sg_7f63556fb8,A
e_000185,u_0023,t_00030,s_00030,2026-05-05T11:26,export_report,,A
e_000186,u_0024,t_00031,s_00031,2026-05-29T02:51,visit_product,,A
e_000187,u_0024,t_00031,s_00031,2026-05-29T02:52,upload_resume,,A
e_000188,u_0024,t_00031,s_00031,2026-05-29T02:53,upload_jd,,A
e_000189,u_0024,t_00031,s_00031,2026-05-29T02:54,generate_suggestion,,A
e_000190,u_0024,t_00031,s_00031,2026-05-29T02:56,reject_suggestion,sg_047e2b9081,A
e_000191,u_0024,t_00031,s_00031,2026-05-29T02:56,adopt_suggestion,sg_e53f78ce62,A
e_000192,u_0024,t_00031,s_00031,2026-05-29T02:57,adopt_suggestion,sg_2100571f2b,A
e_000193,u_0024,t_00031,s_00031,2026-05-29T02:58,adopt_suggestion,sg_43731dd93e,A
e_000194,u_0024,t_00031,s_00031,2026-05-29T02:57,reject_suggestion,sg_8b24506209,A
e_000195,u_0024,t_00031,s_00031,2026-05-29T02:59,adopt_suggestion,sg_46ae2ed0c7,A
e_000196,u_0025,t_00032,s_00032,2026-06-26T13:10,visit_product,,A
e_000197,u_0025,t_00032,s_00032,2026-06-26T13:11,upload_resume,,A
e_000198,u_0025,t_00032,s_00032,2026-06-26T13:12,upload_jd,,A
e_000199,u_0025,t_00033,s_00033,2026-05-19T09:15,visit_product,,B
e_000200,u_0025,t_00033,s_00033,2026-05-19T09:16,upload_resume,,B
e_000201,u_0025,t_00033,s_00033,2026-05-19T09:17,upload_jd,,B
e_000202,u_0025,t_00033,s_00033,2026-05-19T09:18,generate_suggestion,,B
e_000203,u_0025,t_00033,s_00033,2026-05-19T09:20,adopt_suggestion,sg_25d04808bd,B
e_000204,u_0025,t_00033,s_00033,2026-05-19T09:21,adopt_suggestion,sg_21f74273d9,B
e_000205,u_0025,t_00033,s_00033,2026-05-19T09:22,adopt_suggestion,sg_5a17781cec,B
e_000206,u_0025,t_00033,s_00033,2026-05-19T09:23,adopt_suggestion,sg_8384f590c4,B
e_000207,u_0025,t_00033,s_00033,2026-05-19T09:20,reject_suggestion,sg_2329ce08af,B
e_000208,u_0025,t_00033,s_00033,2026-05-19T09:24,adopt_suggestion,sg_1e975c3cb4,B
e_000209,u_0025,t_00033,s_00033,2026-05-19T09:25,export_report,,B
e_000210,u_0025,t_00034,s_00034,2026-06-20T12:30,visit_product,,A
e_000211,u_0025,t_00034,s_00034,2026-06-20T12:31,upload_resume,,A
e_000212,u_0025,t_00034,s_00034,2026-06-20T12:32,upload_jd,,A
e_000213,u_0025,t_00034,s_00034,2026-06-20T12:33,generate_suggestion,,A
e_000214,u_0025,t_00034,s_00034,2026-06-20T12:35,adopt_suggestion,sg_71db626713,A
e_000215,u_0025,t_00034,s_00034,2026-06-20T12:36,adopt_suggestion,sg_35c1a3832b,A
e_000216,u_0025,t_00034,s_00034,2026-06-20T12:35,reject_suggestion,sg_a2d32b3e5a,A
e_000217,u_0025,t_00034,s_00034,2026-06-20T12:37,adopt_suggestion,sg_cdc8a8875a,A
e_000218,u_0025,t_00034,s_00034,2026-06-20T12:38,adopt_suggestion,sg_982fe32e43,A
e_000219,u_0025,t_00034,s_00034,2026-06-20T12:39,adopt_suggestion,sg_a0d5392036,A
e_000220,u_0026,t_00035,s_00035,2026-05-23T17:26,visit_product,,A
e_000221,u_0027,t_00036,s_00036,2026-06-13T15:36,visit_product,,B
e_000222,u_0028,t_00037,s_00037,2026-06-06T16:51,visit_product,,A
e_000223,u_0028,t_00037,s_00037,2026-06-06T16:52,upload_resume,,A
e_000224,u_0029,t_00038,s_00038,2026-06-21T06:08,visit_product,,A
e_000225,u_0029,t_00038,s_00038,2026-06-21T06:09,upload_resume,,A
e_000226,u_0029,t_00038,s_00038,2026-06-21T06:10,upload_jd,,A
e_000227,u_0029,t_00038,s_00038,2026-06-21T06:11,generate_suggestion,,A
e_000228,u_0029,t_00038,s_00038,2026-06-21T06:13,adopt_suggestion,sg_78e187f0c3,A
e_000229,u_0029,t_00038,s_00038,2026-06-21T06:13,reject_suggestion,sg_5f57b7f968,A
e_000230,u_0029,t_00038,s_00038,2026-06-21T06:14,adopt_suggestion,sg_8def29238e,A
e_000231,u_0029,t_00038,s_00038,2026-06-21T06:14,reject_suggestion,sg_3752d55b8b,A
e_000232,u_0029,t_00038,s_00038,2026-06-21T06:15,adopt_suggestion,sg_bf5cdcbdc9,A
e_000233,u_0029,t_00038,s_00038,2026-06-21T06:15,reject_suggestion,sg_b472ac11c2,A
e_000234,u_0030,t_00039,s_00039,2026-06-20T22:39,visit_product,,B
e_000235,u_0030,t_00039,s_00039,2026-06-20T22:40,upload_resume,,B
e_000236,u_0030,t_00039,s_00039,2026-06-20T22:41,upload_jd,,B
e_000237,u_0030,t_00039,s_00039,2026-06-20T22:42,generate_suggestion,,B
e_000238,u_0030,t_00039,s_00039,2026-06-20T22:44,adopt_suggestion,sg_76c08e5a0d,B
e_000239,u_0030,t_00039,s_00039,2026-06-20T22:45,adopt_suggestion,sg_b799363050,B
e_000240,u_0030,t_00039,s_00039,2026-06-20T22:46,adopt_suggestion,sg_cb73e834bc,B
e_000241,u_0031,t_00040,s_00040,2026-05-17T12:41,visit_product,,B
e_000242,u_0031,t_00040,s_00040,2026-05-17T12:42,upload_resume,,B
e_000243,u_0031,t_00040,s_00040,2026-05-17T12:43,upload_jd,,B
e_000244,u_0031,t_00040,s_00040,2026-05-17T12:44,generate_suggestion,,B
e_000245,u_0031,t_00040,s_00040,2026-05-17T12:46,adopt_suggestion,sg_1bd198ed0a,B
e_000246,u_0031,t_00040,s_00040,2026-05-17T12:47,adopt_suggestion,sg_ae24539119,B
e_000247,u_0031,t_00040,s_00040,2026-05-17T12:48,adopt_suggestion,sg_dd99f08c9e,B
e_000248,u_0031,t_00040,s_00040,2026-05-17T12:49,adopt_suggestion,sg_f4d8c2ad20,B
e_000249,u_0031,t_00040,s_00040,2026-05-17T12:50,adopt_suggestion,sg_615c7e65fb,B
e_000250,u_0031,t_00040,s_00040,2026-05-17T12:46,reject_suggestion,sg_6f33771914,B
e_000251,u_0031,t_00040,s_00040,2026-05-17T12:51,export_report,,B
e_000252,u_0032,t_00041,s_00041,2026-06-24T22:43,visit_product,,B
e_000253,u_0032,t_00041,s_00041,2026-06-24T22:44,upload_resume,,B
e_000254,u_0033,t_00042,s_00042,2026-05-27T19:41,visit_product,,B
e_000255,u_0033,t_00042,s_00042,2026-05-27T19:42,upload_resume,,B
e_000256,u_0033,t_00042,s_00042,2026-05-27T19:43,upload_jd,,B
e_000257,u_0034,t_00043,s_00043,2026-06-02T05:04,visit_product,,B
e_000258,u_0034,t_00043,s_00043,2026-06-02T05:05,upload_resume,,B
e_000259,u_0034,t_00043,s_00043,2026-06-02T05:06,upload_jd,,B
e_000260,u_0034,t_00043,s_00043,2026-06-02T05:07,generate_suggestion,,B
e_000261,u_0034,t_00043,s_00043,2026-06-02T05:09,reject_suggestion,sg_a7a105c037,B
e_000262,u_0034,t_00043,s_00043,2026-06-02T05:10,reject_suggestion,sg_3827e7284d,B
e_000263,u_0034,t_00043,s_00043,2026-06-02T05:09,adopt_suggestion,sg_5616fb092f,B
e_000264,u_0034,t_00043,s_00043,2026-06-02T05:10,adopt_suggestion,sg_9f7e3d2534,B
e_000265,u_0034,t_00043,s_00043,2026-06-02T05:11,reject_suggestion,sg_5a538356ae,B
e_000266,u_0034,t_00043,s_00043,2026-06-02T05:12,reject_suggestion,sg_508e15a76b,B
e_000267,u_0034,t_00043,s_00043,2026-06-02T05:14,export_report,,B
e_000268,u_0035,t_00044,s_00044,2026-06-29T03:43,visit_product,,B
e_000269,u_0035,t_00044,s_00044,2026-06-29T03:44,upload_resume,,B
e_000270,u_0035,t_00044,s_00044,2026-06-29T03:45,upload_jd,,B
e_000271,u_0035,t_00044,s_00044,2026-06-29T03:46,generate_suggestion,,B
e_000272,u_0035,t_00044,s_00044,2026-06-29T03:48,adopt_suggestion,sg_a3dd5f362c,B
e_000273,u_0035,t_00044,s_00044,2026-06-29T03:48,reject_suggestion,sg_7e15f39e61,B
e_000274,u_0035,t_00044,s_00044,2026-06-29T03:49,adopt_suggestion,sg_a5a608e99e,B
e_000275,u_0035,t_00044,s_00044,2026-06-29T03:50,adopt_suggestion,sg_4ff12b0300,B
e_000276,u_0035,t_00044,s_00044,2026-06-29T03:51,adopt_suggestion,sg_93e990e222,B
e_000277,u_0035,t_00044,s_00044,2026-06-29T03:49,reject_suggestion,sg_e24b77fa47,B
e_000278,u_0036,t_00045,s_00045,2026-06-11T07:43,visit_product,,A
e_000279,u_0036,t_00045,s_00045,2026-06-11T07:44,upload_resume,,A
e_000280,u_0036,t_00045,s_00045,2026-06-11T07:45,upload_jd,,A
e_000281,u_0036,t_00045,s_00045,2026-06-11T07:46,generate_suggestion,,A
e_000282,u_0036,t_00045,s_00045,2026-06-11T07:48,reject_suggestion,sg_d1ae7c5487,A
e_000283,u_0036,t_00045,s_00045,2026-06-11T07:49,reject_suggestion,sg_90538144c8,A
e_000284,u_0036,t_00045,s_00045,2026-06-11T07:50,reject_suggestion,sg_edac1dcab9,A
e_000285,u_0037,t_00046,s_00046,2026-06-21T09:45,visit_product,,B
e_000286,u_0038,t_00047,s_00047,2026-05-17T06:29,visit_product,,B
e_000287,u_0038,t_00047,s_00047,2026-05-17T06:30,upload_resume,,B
e_000288,u_0038,t_00047,s_00047,2026-05-17T06:31,upload_jd,,B
e_000289,u_0038,t_00047,s_00047,2026-05-17T06:32,generate_suggestion,,B
e_000290,u_0038,t_00047,s_00047,2026-05-17T06:34,adopt_suggestion,sg_354fafcbd4,B
e_000291,u_0038,t_00047,s_00047,2026-05-17T06:35,adopt_suggestion,sg_ef3310372a,B
e_000292,u_0038,t_00047,s_00047,2026-05-17T06:34,reject_suggestion,sg_d4e1f783b2,B
e_000293,u_0038,t_00047,s_00047,2026-05-17T06:35,reject_suggestion,sg_96a9a5bf00,B
e_000294,u_0038,t_00047,s_00047,2026-05-17T06:36,reject_suggestion,sg_5536b4c9f1,B
e_000295,u_0038,t_00047,s_00047,2026-05-17T06:36,adopt_suggestion,sg_a5b0569af0,B
e_000296,u_0039,t_00048,s_00048,2026-05-21T08:16,visit_product,,B
e_000297,u_0039,t_00048,s_00048,2026-05-21T08:17,upload_resume,,B
e_000298,u_0040,t_00049,s_00049,2026-05-21T21:08,visit_product,,B
e_000299,u_0040,t_00049,s_00049,2026-05-21T21:09,upload_resume,,B
e_000300,u_0040,t_00049,s_00049,2026-05-21T21:10,upload_jd,,B
e_000301,u_0040,t_00050,s_00050,2026-06-17T01:37,visit_product,,B
e_000302,u_0040,t_00050,s_00050,2026-06-17T01:38,upload_resume,,B
e_000303,u_0040,t_00050,s_00050,2026-06-17T01:39,upload_jd,,B
e_000304,u_0040,t_00050,s_00050,2026-06-17T01:40,generate_suggestion,,B
e_000305,u_0040,t_00050,s_00050,2026-06-17T01:42,adopt_suggestion,sg_d5ae9aa819,B
